Business,Category,Component,Latitude,Lifeline,Longitude,Source,Lifeline_name,Zipcode
Houston Police Department Headquarters,houston police department,Law Enforce/Security,29.7555836,1,-95.3674716,Google,Saftey & Security,77002
Houston Police Department,houston police department,Law Enforce/Security,29.8570227,1,-95.5397458,Google,Saftey & Security,77040
Houston Police Department,houston police department,Law Enforce/Security,29.7273786,1,-95.6047691,Google,Saftey & Security,77077
Houston Police Department - Central Patrol Station,houston police department,Law Enforce/Security,29.7648943,1,-95.3705532,Google,Saftey & Security,77201
Houston Police Department,houston police department,Law Enforce/Security,29.7670378,1,-95.3683634,Google,Saftey & Security,77201
Houston Police Department - South Central Substation,houston police department,Law Enforce/Security,29.7429822,1,-95.3624932,Google,Saftey & Security,77002
Houston Police Department,houston police department,Law Enforce/Security,29.8795245,1,-95.4468599,Google,Saftey & Security,77088
Houston Police Department,houston police department,Law Enforce/Security,29.6498553,1,-95.5282221,Google,Saftey & Security,77071
Houston Police Foundation,houston police department,Law Enforce/Security,29.7561122,1,-95.3623858,Google,Saftey & Security,77010
Houston Police Department,houston police department,Law Enforce/Security,29.7065742,1,-95.5440792,Google,Saftey & Security,77036
Houston Police Department Storefront,houston police department,Law Enforce/Security,29.6619261,1,-95.2764316,Google,Saftey & Security,77061
Houston Police Department,houston police department,Law Enforce/Security,29.6522707,1,-95.4764546,Google,Saftey & Security,77035
Houston Police Department,houston police department,Law Enforce/Security,29.6962267,1,-95.3353142,Google,Saftey & Security,77021
Houston Police Department,houston police department,Law Enforce/Security,29.7729733,1,-95.2239937,Google,Saftey & Security,77029
Houston Police Department Store Front,houston police department,Law Enforce/Security,29.6864744,1,-95.255292,Google,Saftey & Security,77017
Houston Police Department,houston police department,Law Enforce/Security,29.579614,1,-95.106676,Google,Saftey & Security,77058
Houston Police Department,houston police department,Law Enforce/Security,29.8322187,1,-95.2733032,Google,Saftey & Security,77028
Houston Police Department - Southeast Station,houston police department,Law Enforce/Security,29.6575293,1,-95.3170167,Google,Saftey & Security,77033
Houston Police Station,houston police department,Law Enforce/Security,29.7343372,1,-95.290121,Google,Saftey & Security,77011
HPD Midwest Patrol Station,houston police department,Law Enforce/Security,29.7166809,1,-95.5115278,Google,Saftey & Security,77063
Houston Police Organization,houston police organization,Law Enforce/Security,29.8148259,1,-95.3873857,Google,Saftey & Security,77022
Houston Police Department - Neighborhood Storefront,houston police organization,Law Enforce/Security,29.7127119,1,-95.3573396,Google,Saftey & Security,77021
Houston Police Foundation,houston police organization,Law Enforce/Security,29.7561122,1,-95.3623858,Google,Saftey & Security,77010
Houston Police Department - Central Patrol Station,houston police organization,Law Enforce/Security,29.7648943,1,-95.3705532,Google,Saftey & Security,77201
Houston Police Retired Offcrs,houston police organization,Law Enforce/Security,29.7908675,1,-95.4295091,Google,Saftey & Security,77008
Houston Police Officers' Union,houston police organization,Law Enforce/Security,29.76498,1,-95.3742851,Google,Saftey & Security,77201
Houston Emergency Management,houston emergency management,Search and Rescue,29.8434836,1,-95.4094996,Google,Saftey & Security,77018
Houston Fire Station 13,fire department,Fire Services,29.8322515,1,-95.4513538,Google,Saftey & Security,77092
Houston Fire Department,fire department,Fire Services,29.7346097,1,-95.4023089,Google,Saftey & Security,77006
Northwest Volunteer Fire Department,fire department,Fire Services,29.9493404,1,-95.4994287,Google,Saftey & Security,77066
Community Volunteer Fire Department,fire department,Fire Services,29.7004736,1,-95.6675807,Google,Saftey & Security,77083
League City Fire Station 1,fire department,Fire Services,29.5111805,1,-95.0915451,Google,Saftey & Security,77573
Northwest Volunteer Fire Department,fire department,Fire Services,29.9003344,1,-95.4616146,Google,Saftey & Security,77038
Spring Fire Department Station 71,fire department,Fire Services,30.0710824,1,-95.4243508,Google,Saftey & Security,77388
Missouri City Fire Department,fire department,Fire Services,29.5822041,1,-95.5668132,Google,Saftey & Security,77477
Ponderosa Volunteer Fire Department,fire department,Fire Services,30.014256,1,-95.454723,Google,Saftey & Security,77090
Village Fire Department,fire department,Fire Services,29.7808675,1,-95.5143176,Google,Saftey & Security,77024
Houston Fire Station 62,fire department,Fire Services,29.798103,1,-95.4377768,Google,Saftey & Security,77008
Westfield Fire Department: Central Station & Administration,fire department,Fire Services,29.911907,1,-95.33368,Google,Saftey & Security,77039
Spring Fire Department Station 72,fire department,Fire Services,30.0991482,1,-95.513692,Google,Saftey & Security,77389
Houston Fire Station 02,fire department,Fire Services,29.7623413,1,-95.4811261,Google,Saftey & Security,77057
Southeast Volunteer Fire Department,fire department,Fire Services,29.581632,1,-95.2162344,Google,Saftey & Security,77089
Spring Fire Department Station 74,fire department,Fire Services,30.0543231,1,-95.3950823,Google,Saftey & Security,77373
