Business_name,latitude,longitude,category,lifeline_num,lifeline_name,Source
Houston Police Department Northeast,29.8322187,-95.2733032,houston police department,1,Safety & Security,Google
Houston Police Department North,29.8795299,-95.4466575,houston police department,1,Safety & Security,Google
Houston Police Department,29.6123609,-95.4435819,houston police department,1,Safety & Security,Google
Houston Police Department Headquarters,29.7557321,-95.3675016,houston police department,1,Safety & Security,Google
Houston Police Department,29.9868584,-95.3455973,houston police department,1,Safety & Security,Google
Houston Police Department Midwest,29.7166809,-95.5115278,houston police department,1,Safety & Security,Google
Houston Police Department,29.6958047,-95.3334362,houston police department,1,Safety & Security,Google
Houston Police Station,29.7343372,-95.290121,houston police department,1,Safety & Security,Google
Houston Police Department Storefront,29.6619261,-95.2764316,houston police department,1,Safety & Security,Google
Houston Police Department - South Central Substation,29.7429569,-95.3625138,houston police department,1,Safety & Security,Google
Houston Police Department,29.7066383,-95.5440387,houston police department,1,Safety & Security,Google
Houston Police Department - Greenspoint,29.9517458,-95.4196377,houston police department,1,Safety & Security,Google
Houston Police Department - Central Patrol Station,29.7648943,-95.3705532,houston police department,1,Safety & Security,Google
Houston Police Department Store Front,29.6864744,-95.255292,houston police department,1,Safety & Security,Google
Houston Police Department Westside,29.7273786,-95.6047691,houston police department,1,Safety & Security,Google
Houston Police Department South Gessner,29.6498553,-95.5282221,houston police department,1,Safety & Security,Google
Houston Police Department - Southeast Station,29.6575293,-95.3170167,houston police department,1,Safety & Security,Google
Houston Police Department Northwest,29.8570227,-95.5397458,houston police department,1,Safety & Security,Google
Houston Police Department,29.7729733,-95.2239937,houston police department,1,Safety & Security,Google
Houston Police Department Clearlake,29.579614,-95.106676,houston police department,1,Safety & Security,Google
Houston Police Organization,29.8148259,-95.3873857,houston police organization,1,Safety & Security,Google
Houston Police Officers' Union,29.7649001,-95.3744797,houston police organization,1,Safety & Security,Google
Houston Police Department - Neighborhood Storefront,29.7128297,-95.3574418,houston police organization,1,Safety & Security,Google
Houston Emergency Management,29.8434836,-95.4094996,houston emergency management,1,Safety & Security,Google
Klein Volunteer Fire Department,30.0151312,-95.5301352,fire department,1,Safety & Security,Google
Spring Fire Department Station 74,30.0552706,-95.3924554,fire department,1,Safety & Security,Google
Spring Fire Department Station 71,30.0710824,-95.4243508,fire department,1,Safety & Security,Google
Little York Fire Department,29.9070225,-95.4017139,fire department,1,Safety & Security,Google
Community Volunteer Fire Department Station 1,29.7004736,-95.6675807,fire department,1,Safety & Security,Google
Stafford Fire Department Station 1,29.615212,-95.5561378,fire department,1,Safety & Security,Google
Houston Fire Station 13,29.8322515,-95.4513538,fire department,1,Safety & Security,Google
Eastex Fire Department Station 16,29.9297927,-95.2954651,fire department,1,Safety & Security,Google
Northeast Fort Bend Fire Station #2,29.6537674,-95.6799225,fire department,1,Safety & Security,Google
Humble Fire Rescue - Station 2,29.992842,-95.2496115,fire department,1,Safety & Security,Google
Community Volunteer Fire Department Station 2,29.6908475,-95.6269401,fire department,1,Safety & Security,Google
Klein Volunteer Fire Department Station 32,29.9935384,-95.4909431,fire department,1,Safety & Security,Google
Community Volunteer Fire Department Station 3,29.703949,-95.7379433,fire department,1,Safety & Security,Google
Cypress Creek Fire Dept Station 22 / Admin,29.952722,-95.60017,fire department,1,Safety & Security,Google
Houston Fire Station 16,29.7346097,-95.4023089,fire department,1,Safety & Security,Google
Rosehill Fire Department Station 1,30.08054,-95.717793,fire department,1,Safety & Security,Google
Rosenberg Fire Station #3,29.5331182,-95.7482662,fire department,1,Safety & Security,Google
Humble Fire Rescue - Admin / Station 1,29.9989087,-95.2665459,fire department,1,Safety & Security,Google
Village Fire Department,29.7808675,-95.5143176,fire department,1,Safety & Security,Google
Houston Fire Station 47,29.6315878,-95.4136837,fire department,1,Safety & Security,Google
US General Services Administration,29.7525543,-95.3704013,government services,1,Safety & Security,Google
Harris County - Information Technology Center - ITC Services,29.7597622,-95.3590403,government services,1,Safety & Security,Google
Harris County Financial Services,29.7615098,-95.360672,government services,1,Safety & Security,Google
Harris County Community Services Department,29.6840419,-95.4163665,government services,1,Safety & Security,Google
Harris County Pretrial Services,29.765174,-95.3709385,government services,1,Safety & Security,Google
Dept-Health & Human Services Office,29.7519403,-95.3738239,government services,1,Safety & Security,Google
Houston Multi-Services Center,29.8042647,-95.31655,government services,1,Safety & Security,Google
Harris County Social Services,29.8473257,-95.3424899,government services,1,Safety & Security,Google
Human Service Department,29.7185116,-95.5296783,government services,1,Safety & Security,Google
Houston City Secretary,29.7607008,-95.370064,government services,1,Safety & Security,Google
Harris County Fleet Services,29.7523641,-95.349231,government services,1,Safety & Security,Google
Health & Human Services Commission,29.6266764,-95.4315005,government services,1,Safety & Security,Google
Texas Health And Human Services Commission,29.6105434,-95.2336701,government services,1,Safety & Security,Google
Rehabilitation Services Division,29.9374443,-95.3951137,government services,1,Safety & Security,Google
Health and Human Services Commission,29.8686636,-95.4894982,government services,1,Safety & Security,Google
Harris County Family Crt Services,29.7587526,-95.3592704,government services,1,Safety & Security,Google
Development Services,29.7156106,-95.4390869,government services,1,Safety & Security,Google
Harris County Nutritional Services,29.7440066,-95.4565882,government services,1,Safety & Security,Google
Texas Human Service Department,29.7171732,-94.9753581,government services,1,Safety & Security,Google
