Business_name,latitude,longitude,zipcode,category,lifeline_num,lifeline_name,Source
Total Maintenance Solutions,29.67278,-95.44627,77025,safetyequipment,1,Safety & Security,Yelp
Airgas Store,29.8474876,-95.5231417,77040,safetyequipment,1,Safety & Security,Yelp
Airgas Store,29.6821426,-95.3502823,77033,safetyequipment,1,Safety & Security,Yelp
PSG Safe,29.72405,-95.51127,77069,safetyequipment,1,Safety & Security,Yelp
Advanced Geodetic Surveys,29.348105,-95.643005,77430,safetyequipment,1,Safety & Security,Yelp
Airgas Store,29.8474876,-95.5231417,77040,safetyequipment,1,Safety & Security,Yelp
Airgas Store,29.6821426,-95.3502823,77033,safetyequipment,1,Safety & Security,Yelp
PSG Safe,29.72405,-95.51127,77069,safetyequipment,1,Safety & Security,Yelp
Advanced Geodetic Surveys,29.348105,-95.643005,77430,safetyequipment,1,Safety & Security,Yelp
Airgas Store,29.6821426,-95.3502823,77033,safetyequipment,1,Safety & Security,Yelp
PSG Safe,29.72405,-95.51127,77069,safetyequipment,1,Safety & Security,Yelp
Advanced Geodetic Surveys,29.348105,-95.643005,77430,safetyequipment,1,Safety & Security,Yelp
PSG Safe,29.72405,-95.51127,77069,safetyequipment,1,Safety & Security,Yelp
Advanced Geodetic Surveys,29.348105,-95.643005,77430,safetyequipment,1,Safety & Security,Yelp
Dr Computer Service and Security Cameras,29.75246,-95.36977,77002,security,1,Safety & Security,Yelp
Hawk Security Services,29.748087432184583,-95.55861141534142,77043,security,1,Safety & Security,Yelp
State Patrol Services,29.737163,-95.59210757289239,77077,security,1,Safety & Security,Yelp
Security Guard Training Houston Texas,29.72429,-95.49458,77057,security,1,Safety & Security,Yelp
International Guard Services,29.813298,-95.466816,77018,security,1,Safety & Security,Yelp
International Protective Services,29.73109,-95.4853,77057,security,1,Safety & Security,Yelp
Professional Protection & investigations,29.813443,-95.4609483,77092,security,1,Safety & Security,Yelp
S.E.A.L. Security Texas,29.798535,-95.5250113,77055,security,1,Safety & Security,Yelp
Nationwide Investigations & Security,29.742097,-95.456894,77027,security,1,Safety & Security,Yelp
Wired Technologies,29.75315284729,-95.4122848510742,77019,security,1,Safety & Security,Yelp
iidon Security Associates,29.74017,-95.52214,77063,security,1,Safety & Security,Yelp
Pros On Call - Houston,29.725418090820312,-95.36685943603516,77004,security,1,Safety & Security,Yelp
Top Gun Security Services,29.52373,-95.0825,77573,security,1,Safety & Security,Yelp
Rouge Envelope,29.7673664093018,-95.3961715698242,77007,security,1,Safety & Security,Yelp
NZ Control Specialists,29.8076038360596,-95.5173492431641,77080,security,1,Safety & Security,Yelp
G4S Secure Solutions,29.817324,-95.467109,77036,security,1,Safety & Security,Yelp
Rangers 1 Security,29.71138,-95.4997,77074,security,1,Safety & Security,Yelp
Optimum Security Professionals,29.7463155537844,-95.461286008358,77056,security,1,Safety & Security,Yelp
Whelan Security,29.8114728070737,-95.4240310264893,77008,security,1,Safety & Security,Yelp
Ranger Security,29.712421,-95.5679229,77072,security,1,Safety & Security,Yelp
Hawk Security Services,29.748087432184583,-95.55861141534142,77043,security,1,Safety & Security,Yelp
State Patrol Services,29.737163,-95.59210757289239,77077,security,1,Safety & Security,Yelp
Security Guard Training Houston Texas,29.72429,-95.49458,77057,security,1,Safety & Security,Yelp
International Guard Services,29.813298,-95.466816,77018,security,1,Safety & Security,Yelp
International Protective Services,29.73109,-95.4853,77057,security,1,Safety & Security,Yelp
Professional Protection & investigations,29.813443,-95.4609483,77092,security,1,Safety & Security,Yelp
S.E.A.L. Security Texas,29.798535,-95.5250113,77055,security,1,Safety & Security,Yelp
Nationwide Investigations & Security,29.742097,-95.456894,77027,security,1,Safety & Security,Yelp
Wired Technologies,29.75315284729,-95.4122848510742,77019,security,1,Safety & Security,Yelp
iidon Security Associates,29.74017,-95.52214,77063,security,1,Safety & Security,Yelp
Pros On Call - Houston,29.725418090820312,-95.36685943603516,77004,security,1,Safety & Security,Yelp
Top Gun Security Services,29.52373,-95.0825,77573,security,1,Safety & Security,Yelp
Rouge Envelope,29.7673664093018,-95.3961715698242,77007,security,1,Safety & Security,Yelp
NZ Control Specialists,29.8076038360596,-95.5173492431641,77080,security,1,Safety & Security,Yelp
G4S Secure Solutions,29.817324,-95.467109,77036,security,1,Safety & Security,Yelp
Rangers 1 Security,29.71138,-95.4997,77074,security,1,Safety & Security,Yelp
Optimum Security Professionals,29.7463155537844,-95.461286008358,77056,security,1,Safety & Security,Yelp
Whelan Security,29.8114728070737,-95.4240310264893,77008,security,1,Safety & Security,Yelp
Ranger Security,29.712421,-95.5679229,77072,security,1,Safety & Security,Yelp
Locke Protective Services,29.751311,-95.501571,77057,security,1,Safety & Security,Yelp
State Patrol Services,29.737163,-95.59210757289239,77077,security,1,Safety & Security,Yelp
Security Guard Training Houston Texas,29.72429,-95.49458,77057,security,1,Safety & Security,Yelp
International Guard Services,29.813298,-95.466816,77018,security,1,Safety & Security,Yelp
International Protective Services,29.73109,-95.4853,77057,security,1,Safety & Security,Yelp
Professional Protection & investigations,29.813443,-95.4609483,77092,security,1,Safety & Security,Yelp
S.E.A.L. Security Texas,29.798535,-95.5250113,77055,security,1,Safety & Security,Yelp
Nationwide Investigations & Security,29.742097,-95.456894,77027,security,1,Safety & Security,Yelp
Wired Technologies,29.75315284729,-95.4122848510742,77019,security,1,Safety & Security,Yelp
iidon Security Associates,29.74017,-95.52214,77063,security,1,Safety & Security,Yelp
Pros On Call - Houston,29.725418090820312,-95.36685943603516,77004,security,1,Safety & Security,Yelp
Top Gun Security Services,29.52373,-95.0825,77573,security,1,Safety & Security,Yelp
Rouge Envelope,29.7673664093018,-95.3961715698242,77007,security,1,Safety & Security,Yelp
NZ Control Specialists,29.8076038360596,-95.5173492431641,77080,security,1,Safety & Security,Yelp
G4S Secure Solutions,29.817324,-95.467109,77036,security,1,Safety & Security,Yelp
Rangers 1 Security,29.71138,-95.4997,77074,security,1,Safety & Security,Yelp
Optimum Security Professionals,29.7463155537844,-95.461286008358,77056,security,1,Safety & Security,Yelp
Whelan Security,29.8114728070737,-95.4240310264893,77008,security,1,Safety & Security,Yelp
Ranger Security,29.712421,-95.5679229,77072,security,1,Safety & Security,Yelp
Locke Protective Services,29.751311,-95.501571,77057,security,1,Safety & Security,Yelp
American Guards Security,29.7171131,-95.5146289,77036,security,1,Safety & Security,Yelp
